grid_lat,grid_lon,total_violations,unique_days_active,avg_base_impact,max_base_impact,recurrence_rate,historical_risk_score
12.803,77.704,1,1,15.0,15.0,0.006622516556291391,0.2721133606191446
12.805,77.7,1,1,20.0,20.0,0.006622516556291391,0.5361509374774053
12.806,77.698,1,1,15.0,15.0,0.006622516556291391,0.2721133606191446
12.806,77.699,3,2,16.666666666666668,20.0,0.013245033112582781,3.9508837293759176
12.806,77.7,1,1,20.0,20.0,0.006622516556291391,0.5361509374774053
12.807,77.697,4,1,11.25,15.0,0.006622516556291391,1.7502128059522646
12.807,77.698,2,1,20.0,20.0,0.006622516556291391,1.520292689605736
12.807,77.699,2,2,17.5,20.0,0.013245033112582781,2.818329864827709
12.808,77.697,1,1,10.0,10.0,0.006622516556291391,0.0
12.808,77.698,1,1,15.0,15.0,0.006622516556291391,0.2721133606191446
12.811,77.694,2,1,20.0,20.0,0.006622516556291391,1.520292689605736
12.811,77.695,1,1,20.0,20.0,0.006622516556291391,0.5361509374774053
12.812,77.694,1,1,20.0,20.0,0.006622516556291391,0.5361509374774053
12.814,77.692,1,1,20.0,20.0,0.006622516556291391,0.5361509374774053
12.817,77.69,1,1,15.0,15.0,0.006622516556291391,0.2721133606191446
12.818,77.689,29,12,14.310344827586206,20.0,0.07947019867549669,30.79974428225956
12.818,77.69,9,5,18.333333333333332,20.0,0.033112582781456956,16.03365694868414
12.819,77.688,11,10,12.727272727272727,20.0,0.06622516556291391,20.15487278327268
12.819,77.689,38,23,16.57894736842105,20.0,0.152317880794702,40.12890679450155
12.82,77.687,1,1,15.0,15.0,0.006622516556291391,0.2721133606191446
12.82,77.688,20,11,15.75,20.0,0.0728476821192053,27.686253468320437
12.82,77.689,1,1,25.0,25.0,0.006622516556291391,0.7925782932053322
12.821,77.687,9,6,13.88888888888889,20.0,0.039735099337748346,15.322243540757603
12.821,77.688,2,2,15.0,20.0,0.013245033112582781,2.406338981120955
12.822,77.686,2,1,17.5,20.0,0.006622516556291391,1.2842731904094056
12.822,77.687,1,1,20.0,20.0,0.006622516556291391,0.5361509374774053
12.823,77.685,4,2,18.75,20.0,0.013245033112582781,5.567164050691393
12.823,77.686,5,3,19.0,20.0,0.019867549668874173,8.863940238467528
12.824,77.684,1,1,15.0,15.0,0.006622516556291391,0.2721133606191446
12.824,77.685,1,1,15.0,15.0,0.006622516556291391,0.2721133606191446
12.825,77.683,3,1,16.666666666666668,20.0,0.006622516556291391,1.974340863173914
12.825,77.684,2,1,15.0,15.0,0.006622516556291391,1.0418218568286584
12.826,77.682,3,3,20.0,20.0,0.019867549668874173,6.412490486341915
12.826,77.683,2,1,15.0,15.0,0.006622516556291391,1.0418218568286584
12.827,77.682,5,3,15.0,15.0,0.019867549668874173,7.546650604477692
12.828,77.682,6,5,15.0,15.0,0.033112582781456956,11.71958901054571
